Date,Open,High,Low,Close,Volume,Profit,Did_Win
1/1/2001,268.399994,268.399994,267.299988,268,2,-4.100006,0
1/8/2001,268,268,263.899994,263.899994,0,0.399994,1
1/15/2001,263.299988,264.299988,263.200012,264.299988,0,-1.5,0
1/22/2001,266.399994,266.399994,262.799988,262.799988,0,4.300018,1
1/29/2001,262.799988,268.899994,262.799988,267.100006,18326,-7.200012,0
2/5/2001,265.100006,265.799988,259,259.899994,396,-1.699982,0
2/12/2001,262.5,262.5,255,258.200012,72,2.699982,1
2/19/2001,256.100006,260.899994,255,260.899994,80,1.200012,1
2/26/2001,262,267.399994,261.5,262.100006,1,8.699982,1
3/5/2001,262.5,270.799988,259,270.799988,31,-12.699982,0
3/12/2001,271.600006,271.600006,257,258.100006,10,3.399994,1
3/19/2001,259.799988,261.899994,259.799988,261.5,1,-3.600006,0
3/26/2001,261.899994,261.899994,256.600006,257.899994,31119,2.100006,1
4/2/2001,257.200012,260.5,255,260,1193,0.100006,1
4/9/2001,260.5,261,256.5,260.100006,174,4.699982,1
4/16/2001,260.5,265.299988,259.5,264.799988,226,-0.899994,0
4/23/2001,263.600006,265,262,263.899994,140,2.200012,1
4/30/2001,264,266.299988,264,266.100006,0,1.799988,1
5/7/2001,266.100006,270,265.100006,267.899994,0,19.5,1
5/14/2001,268.299988,287.399994,268.100006,287.399994,0,-9.5,0
5/21/2001,285.399994,285.399994,277.899994,277.899994,12,-11.5,0
5/28/2001,273.799988,275,264.200012,266.399994,33089,7,1
6/4/2001,266.899994,274.200012,264.5,273.399994,645,-2.199982,0
6/11/2001,271.100006,276,266.5,271.200012,356,1.099976,1
6/18/2001,272,273.600006,271,272.299988,90,-1.699982,0
6/25/2001,275,277,269.299988,270.600006,8,-4.700012,0
7/2/2001,269.399994,269.399994,263.700012,265.899994,72,1.200012,1
7/9/2001,266.5,268.299988,266.200012,267.100006,5,2.799988,1
7/16/2001,266.899994,270.399994,266.899994,269.899994,10,-2.5,0
7/23/2001,268.799988,269.700012,266.200012,267.399994,17975,0.5,1
7/30/2001,267.299988,268.5,264.100006,267.899994,2914,6,1
8/6/2001,267.799988,275.799988,265.899994,273.899994,993,5.399994,1
8/13/2001,275.200012,279.299988,273.200012,279.299988,52,-6.799988,0
8/20/2001,277.200012,277.200012,272.5,272.5,62,1.899994,1
8/27/2001,272.5,275.399994,272.299988,274.399994,56,-1.299988,0
9/3/2001,271.600006,273.100006,271.600006,273.100006,0,17.100006,1
9/10/2001,271.600006,290.200012,271.600006,290.200012,0,1.699982,1
9/17/2001,289.799988,291.899994,288.100006,291.899994,2,0.5,1
9/24/2001,289.799988,294,289,292.399994,3135,-1,0
10/1/2001,291.799988,292.899994,289.899994,291.399994,362,-6.5,0
10/8/2001,292,292.700012,280.5,284.899994,265,-4.799988,0
10/15/2001,282.700012,283.399994,279,280.100006,209,-2.200012,0
10/22/2001,275.5,277.899994,275.5,277.899994,49,1.899994,1
10/29/2001,278.5,281.200012,278.5,279.799988,8,-2.399994,0
11/5/2001,278.5,281,276.799988,277.399994,96,-2.699982,0
11/12/2001,278.299988,278.299988,274.700012,274.700012,4,-1.800018,0
11/19/2001,272.700012,273,272.700012,272.899994,0,1,1
11/26/2001,272.299988,275.5,272.299988,273.899994,27849,0,0
12/3/2001,273.5,277.5,273,273.899994,1352,4.100006,1
12/10/2001,272.5,278.5,271.200012,278,588,0,0
12/17/2001,278.200012,281.299988,275.5,278,211,-1.5,0
12/24/2001,278.299988,280.899994,276.5,276.5,4,2.399994,1
12/31/2001,276.799988,278.899994,276.799988,278.899994,8,8.5,1
1/7/2002,278.600006,287.399994,278.600006,287.399994,7,-4.299988,0
1/14/2002,285.399994,287.299988,283.100006,283.100006,10,-4.300018,0
1/21/2002,281.5,281.5,278.100006,278.799988,8,7.200012,1
1/28/2002,278.299988,287.5,278.299988,286,29118,17.5,1
2/4/2002,286,308,285.399994,303.5,2069,-5.100006,0
2/11/2002,303.5,303.5,296.700012,298.399994,1127,-5.199982,0
2/18/2002,297,297.299988,290.799988,293.200012,223,4.799988,1
2/25/2002,292.700012,298,291.5,298,9,-7.899994,0
3/4/2002,296.700012,298,290.100006,290.100006,81,-0.200012,0
3/11/2002,291.100006,293.600006,289.899994,289.899994,44,7.399994,1
3/18/2002,292.100006,297.299988,292.100006,297.299988,6,5.300018,1
3/25/2002,297.399994,304.5,296.299988,302.600006,29334,-2.5,0
4/1/2002,302.600006,306.799988,298.700012,300.100006,1146,2,1
4/8/2002,299,303.200012,297.700012,302.100006,467,0.199982,1
4/15/2002,303.299988,306,297.5,302.299988,280,9.300018,1
4/22/2002,304.100006,312.5,302.799988,311.600006,333,0.600006,1
4/29/2002,311.200012,312.200012,308.299988,312.200012,0,-1.200012,0
5/6/2002,311.200012,311.600006,307.5,311,2,-0.399994,0
5/13/2002,311,311,306.799988,310.600006,7,9.799988,1
5/20/2002,315.700012,322.5,315.700012,320.399994,0,6.100006,1
5/27/2002,323.899994,329,323.5,326.5,29734,-1.899994,0
6/3/2002,326.600006,330.299988,320.100006,324.600006,3711,-5.5,0
6/10/2002,323,323.899994,316,319.100006,954,5.5,1
6/17/2002,318,325.200012,317,324.600006,845,-11.100006,0
6/24/2002,326.5,327.299988,313.5,313.5,307,-2.600006,0
7/1/2002,314,315.299988,310.899994,310.899994,22,4.700012,1
7/8/2002,313.299988,317.200012,312.100006,315.600006,12,8.299988,1
7/15/2002,320.5,323.899994,317,323.899994,474,-20.5,0
7/22/2002,323.600006,323.600006,303.399994,303.399994,3,3.600006,1
7/29/2002,302.5,307.899994,298,307,28628,7.200012,1
8/5/2002,307.5,315.5,304.799988,314.200012,483,-0.5,0
8/12/2002,313.799988,318,311,313.700012,1085,-7,0
8/19/2002,313.100006,313.100006,304.899994,306.700012,873,5.699982,1
8/26/2002,310.5,312.899994,308.5,312.399994,206,7.5,1
9/2/2002,312.5,320,312.5,319.899994,7,-3.299988,0
9/9/2002,321.299988,321.299988,316.600006,316.600006,0,5.299988,1
9/16/2002,317.100006,322.600006,317,321.899994,7,-2.199982,0
9/23/2002,323,325.899994,319,319.700012,4343,2.399994,1
9/30/2002,320.700012,324.200012,319.600006,322.100006,3047,-5.800018,0
10/7/2002,322,322.200012,316.299988,316.299988,80,-3.599976,0
10/14/2002,318,318,311.5,312.700012,610,0.699982,1
10/21/2002,310.899994,314,309.799988,313.399994,140,5.399994,1
10/28/2002,314,318.799988,314,318.799988,15,2.5,1
11/4/2002,318.299988,321.5,317.5,321.299988,2,-0.599976,0
11/11/2002,321.200012,324.5,317.5,320.700012,4,0,0
11/18/2002,319.200012,320.700012,317.200012,320.700012,6,-3.900024,0
11/25/2002,316.5,318.899994,316.5,316.799988,54539,9.5,1
12/2/2002,318.100006,328,315.5,326.299988,2766,6.900024,1
12/9/2002,325.700012,336,323,333.200012,920,7.299988,1
12/16/2002,334,349.200012,332.5,340.5,391,8.700012,1
12/23/2002,344.5,350.5,342,349.200012,365,2,1
12/30/2002,350.399994,351.200012,341,351.200012,14,3.299988,1
1/6/2003,351.700012,354.5,346.299988,354.5,9,2.100006,1
1/13/2003,352,357.700012,350,356.600006,1,11.600006,1
1/20/2003,357.299988,368.200012,356.200012,368.200012,65,0.099976,1
1/27/2003,371,372,362.600006,368.299988,8220,1.600006,1
2/3/2003,368,388.899994,367.5,369.899994,3672,-18,0
2/10/2003,370.399994,372,349,351.899994,2358,-0.100006,0
2/17/2003,347.799988,355,342,351.799988,764,-1.599976,0
2/24/2003,353.899994,359,346.100006,350.200012,134,0.599976,1
3/3/2003,349.200012,356.799988,349.200012,350.799988,0,-14.299988,0
3/10/2003,354.700012,354.700012,335.899994,336.5,6,-10.5,0
3/17/2003,343,343,326,326,29,2.700012,1
3/24/2003,329.5,331.5,328.399994,328.700012,4039,-3.400024,0
3/31/2003,331.600006,338.399994,323,325.299988,3543,2.600006,1
4/7/2003,321,327.899994,319.299988,327.899994,1262,-0.699982,0
4/14/2003,325.600006,328.299988,322.5,327.200012,190,6.199982,1
4/21/2003,329.700012,336.5,329.5,333.399994,120,7.600006,1
4/28/2003,335,342.200012,333,341,10,7.600006,1
5/5/2003,342.299988,348.200012,342.100006,348.600006,18,6.100006,1
5/12/2003,351.600006,352.700012,350,354.700012,5,14.099976,1
5/19/2003,364.200012,368.799988,364.200012,368.799988,5,-4.299988,0
5/26/2003,367.799988,370,358.600006,364.5,163995,-0.799988,0
6/2/2003,360,370,360,363.700012,6167,-7.100006,0
6/9/2003,362.799988,366.100006,351,356.600006,2578,-0.300018,0
6/16/2003,359.100006,365,356,356.299988,895,-11.099976,0
6/23/2003,355.899994,357.299988,343.399994,345.200012,779,5.799988,1
6/30/2003,345.299988,351.399994,345.299988,351,12,-6.200012,0
7/7/2003,351,351,343.600006,344.799988,13,2.400024,1
7/14/2003,344.5,347.700012,342.100006,347.200012,540,15.5,1
7/21/2003,350.899994,362.700012,350.600006,362.700012,500,-16.600006,0
7/28/2003,362.700012,364.799988,346,346.100006,87543,10.199982,1
8/4/2003,346.5,357.5,346.299988,356.299988,2827,6.900024,1
8/11/2003,359.600006,366,357.200012,363.200012,125,-0.100006,0
8/18/2003,360,367,357,363.100006,284,12.600006,1
8/25/2003,364,375,361,375.700012,232,1.899994,1
9/1/2003,375,377.600006,372.899994,377.600006,32,-1.800018,0
9/8/2003,375.100006,381.700012,375.100006,375.799988,26,6,1
9/15/2003,375.399994,381.799988,373.5,381.799988,5,-1,0
9/22/2003,387.200012,387.5,380.799988,380.799988,7326,-11.399994,0
9/29/2003,381,388.700012,368,369.399994,9755,4.200012,1
