,Date,Trending,5%Change,HighVol,CloseAvg,DidWin
0,1/1/2001,0,0,0,1,0.0
1,1/8/2001,0,0,0,0,1.0
2,1/15/2001,0,0,0,1,0.0
3,1/22/2001,0,0,0,0,1.0
4,1/29/2001,0,0,1,1,0.0
5,2/5/2001,0,0,0,0,0.0
6,2/12/2001,0,0,0,0,1.0
7,2/19/2001,0,0,0,1,1.0
8,2/26/2001,1,0,0,0,1.0
9,3/5/2001,0,0,0,1,0.0
10,3/12/2001,0,0,0,0,1.0
11,3/19/2001,0,0,0,1,0.0
12,3/26/2001,0,0,1,0,1.0
13,4/2/2001,0,0,1,1,1.0
14,4/9/2001,1,0,0,1,1.0
15,4/16/2001,0,0,0,1,0.0
16,4/23/2001,0,0,0,1,1.0
17,4/30/2001,0,0,0,1,1.0
18,5/7/2001,1,1,0,1,1.0
19,5/14/2001,0,0,0,1,0.0
20,5/21/2001,0,0,0,0,0.0
21,5/28/2001,0,0,1,0,1.0
22,6/4/2001,0,0,1,1,0.0
23,6/11/2001,0,0,0,0,1.0
24,6/18/2001,0,0,0,0,0.0
25,6/25/2001,0,0,0,0,0.0
26,7/2/2001,0,0,0,0,1.0
27,7/9/2001,0,0,0,0,1.0
28,7/16/2001,0,0,0,1,0.0
29,7/23/2001,0,0,1,0,1.0
30,7/30/2001,0,0,1,1,1.0
31,8/6/2001,1,0,1,1,1.0
32,8/13/2001,0,0,0,1,0.0
33,8/20/2001,0,0,0,0,1.0
34,8/27/2001,0,0,0,1,0.0
35,9/3/2001,0,1,0,1,1.0
36,9/10/2001,0,0,0,1,1.0
37,9/17/2001,1,0,0,1,1.0
38,9/24/2001,0,0,1,1,0.0
39,10/1/2001,0,0,0,0,0.0
40,10/8/2001,-1,0,0,0,0.0
41,10/15/2001,-1,0,0,0,0.0
42,10/22/2001,0,0,0,1,1.0
43,10/29/2001,0,0,0,0,0.0
44,11/5/2001,0,0,0,0,0.0
45,11/12/2001,-1,0,0,0,0.0
46,11/19/2001,0,0,0,1,1.0
47,11/26/2001,0,0,1,0,0.0
48,12/3/2001,0,0,1,0,1.0
49,12/10/2001,0,0,1,1,0.0
50,12/17/2001,0,0,0,0,0.0
51,12/24/2001,0,0,0,0,1.0
52,12/31/2001,0,0,0,1,1.0
53,1/7/2002,0,0,0,1,0.0
54,1/14/2002,0,0,0,0,0.0
55,1/21/2002,0,0,0,0,1.0
